2016-04-06 13:54:18.586 INFO  org.springframework.web.context.ContextLoader:305 [localhost-startStop-1] - Root WebApplicationContext: initialization started
2016-04-06 13:54:18.656 INFO  org.springframework.web.context.support.XmlWebApplicationContext:578 [localhost-startStop-1] - Refreshing Root WebApplicationContext: startup date [Wed Apr 06 13:54:18 EEST 2016]; root of context hierarchy
2016-04-06 13:54:18.683 INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 [localhost-startStop-1] - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/root-context.xml]
2016-04-06 13:54:18.903 INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer:172 [localhost-startStop-1] - Loading properties file from ServletContext resource [/WEB-INF/db-properties/database.properties]
2016-04-06 13:54:21.073 INFO  org.springframework.web.context.ContextLoader:345 [localhost-startStop-1] - Root WebApplicationContext: initialization completed in 2485 ms
2016-04-06 13:54:21.101 INFO  org.springframework.web.servlet.DispatcherServlet:488 [localhost-startStop-1] - FrameworkServlet 'appServlet': initialization started
2016-04-06 13:54:21.104 INFO  org.springframework.web.context.support.XmlWebApplicationContext:578 [localhost-startStop-1] - Refreshing WebApplicationContext for namespace 'appServlet-servlet': startup date [Wed Apr 06 13:54:21 EEST 2016]; parent: Root WebApplicationContext
2016-04-06 13:54:21.105 INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader:317 [localhost-startStop-1] - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/appServlet/servlet-context.xml]
2016-04-06 13:54:21.375 INFO  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor:153 [localhost-startStop-1] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-04-06 13:54:21.522 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 [localhost-startStop-1] - Mapped "{[/check],methods=[GET]}" onto public java.lang.String com.kbhkn.eticaret.controller.YetkiController.listAllYetkissPage(org.springframework.ui.Model)
2016-04-06 13:54:21.523 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 [localhost-startStop-1] - Mapped "{[/musteri],methods=[GET]}" onto public void com.kbhkn.eticaret.controller.YetkiController.SiparisPage(org.springframework.ui.Model)
2016-04-06 13:54:21.525 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 [localhost-startStop-1] - Mapped "{[/],methods=[GET]}" onto public java.lang.String com.kbhkn.eticaret.controller.HomeController.home(java.util.Locale,org.springframework.ui.Model)
2016-04-06 13:54:21.525 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:534 [localhost-startStop-1] - Mapped "{[/form],methods=[GET]}" onto public java.lang.String com.kbhkn.eticaret.controller.HomeController.test(java.util.Locale,org.springframework.ui.Model)
2016-04-06 13:54:21.617 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter:532 [localhost-startStop-1] - Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Wed Apr 06 13:54:21 EEST 2016]; parent: Root WebApplicationContext
2016-04-06 13:54:21.651 INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter:532 [localhost-startStop-1] - Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Wed Apr 06 13:54:21 EEST 2016]; parent: Root WebApplicationContext
2016-04-06 13:54:21.698 INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping:341 [localhost-startStop-1] - Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2016-04-06 13:54:21.856 INFO  org.springframework.web.servlet.DispatcherServlet:507 [localhost-startStop-1] - FrameworkServlet 'appServlet': initialization completed in 755 ms
2016-04-06 13:54:24.423 INFO  com.kbhkn.eticaret.controller.HomeController:21 [tomcat-http--3] - Welcome home! The client locale is en_US.
2016-04-06 13:55:04.803 INFO  org.springframework.web.context.support.XmlWebApplicationContext:960 [localhost-startStop-2] - Closing WebApplicationContext for namespace 'appServlet-servlet': startup date [Wed Apr 06 13:54:21 EEST 2016]; parent: Root WebApplicationContext
2016-04-06 13:55:04.814 INFO  org.springframework.web.context.support.XmlWebApplicationContext:960 [localhost-startStop-2] - Closing Root WebApplicationContext: startup date [Wed Apr 06 13:54:18 EEST 2016]; root of context hierarchy
